Query#,Query,Type,Side,Call#,Model,A2_SP_fixed,B1_USER_md,B1_MEMORY_md,B1_privacy,B1_DEVICE_INFO,B1_total,C2_in_SP,C2_in_UM,C2_total,A1_Tools,SP_total,C1_Query,UAT_history,input,cache_read,actual,hit_pct
Q1,明天有哪些日程,task,before,1,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,371,392,3434,0,3434,5086,33716,22,9825,50677,29568,21109,58.3
Q1,明天有哪些日程,task,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,10864,51403,0,51403,0.0
Q2,看一些备忘录里中秋出行的信息,task,before,1,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,383,404,3637,0,3637,5086,33931,22,9825,50677,29568,21109,58.3
Q2,看一些备忘录里中秋出行的信息,task,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5718,29851,26,10864,51403,0,51403,0.0
Q2,看一些备忘录里中秋出行的信息,task,before,2,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,383,404,3637,0,3637,5086,33931,22,10047,50858,29568,21290,58.1
Q2,看一些备忘录里中秋出行的信息,task,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5718,29851,26,11115,51646,49152,2494,95.2
Q2,看一些备忘录里中秋出行的信息,task,before,3,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,383,404,3637,0,3637,5086,33931,27,11617,52552,29568,22984,56.3
Q3,我有哪些闹钟,task,before,1,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,540,561,2542,0,2542,5086,32993,22,94,50677,29568,21109,58.3
Q3,我有哪些闹钟,task,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5718,29851,26,10864,51403,0,51403,0.0
Q3,我有哪些闹钟,task,before,2,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,540,561,2542,0,2542,5086,32993,22,172,50858,29568,21290,58.1
Q3,我有哪些闹钟,task,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5718,29851,26,11115,51646,49152,2494,95.2
Q3,我有哪些闹钟,task,before,3,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,540,561,2542,0,2542,5086,32993,27,1270,52552,29568,22984,56.3
Q3,我有哪些闹钟,task,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5869,5869,5718,29851,31,12572,58446,4096,54350,7.0
Q3,我有哪些闹钟,task,before,4,ZhipuAI/GLM-5/Cluster-1,29890,21,0,0,540,561,2542,0,2542,5086,32993,51,1285,52609,52480,129,99.8
Q3,我有哪些闹钟,task,after,4,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5718,29851,169,12587,58621,57344,1277,97.8
Q3,我有哪些闹钟,task,after,5,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5447,5447,5718,29851,26,14453,65621,57344,8277,87.4
Q4,越野路线推荐,qa,before,1,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,235,258,3585,0,3585,5806,32497,27,10650,49798,26624,23174,53.5
Q4,越野路线推荐,qa,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,10864,51403,0,51403,0.0
Q4,越野路线推荐,qa,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,11115,51646,49152,2494,95.2
Q4,越野路线推荐,qa,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5869,5869,5944,29851,31,12572,58446,4096,54350,7.0
Q4,越野路线推荐,qa,after,4,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,169,12587,58621,57344,1277,97.8
Q4,越野路线推荐,qa,after,5,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5447,5447,5944,29851,26,14453,65621,57344,8277,87.4
Q4,越野路线推荐,qa,after,6,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,167,14468,65794,65536,258,99.6
Q5,大兴安岭穿越路线,qa,before,1,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,496,519,3079,0,3079,5806,32252,27,202,49798,26624,23174,53.5
Q5,大兴安岭穿越路线,qa,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,10864,51403,0,51403,0.0
Q5,大兴安岭穿越路线,qa,before,2,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,496,519,3079,0,3079,5806,32252,27,284,49902,49152,750,98.5
Q5,大兴安岭穿越路线,qa,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,11115,51646,49152,2494,95.2
Q5,大兴安岭穿越路线,qa,before,3,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,496,519,3079,0,3079,5806,32252,34,9738,54729,24576,30153,44.9
Q5,大兴安岭穿越路线,qa,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5869,5869,5944,29851,31,12572,58446,4096,54350,7.0
Q5,大兴安岭穿越路线,qa,before,4,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,496,519,3079,0,3079,5806,32252,34,9889,54846,53248,1598,97.1
Q5,大兴安岭穿越路线,qa,after,4,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,169,12587,58621,57344,1277,97.8
Q5,大兴安岭穿越路线,qa,after,5,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5447,5447,5944,29851,26,14453,65621,57344,8277,87.4
Q5,大兴安岭穿越路线,qa,after,6,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,167,14468,65794,65536,258,99.6
Q5,大兴安岭穿越路线,qa,after,7,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6181,6181,5944,29851,27,25707,82453,49152,33301,59.6
Q5,大兴安岭穿越路线,qa,after,8,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5691,5691,5944,29851,34,35418,97024,81920,15104,84.4
Q6,普拉多卫士H9对比,qa,before,1,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,27,202,49798,26624,23174,53.5
Q6,普拉多卫士H9对比,qa,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,10864,51403,0,51403,0.0
Q6,普拉多卫士H9对比,qa,before,2,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,27,284,49902,49152,750,98.5
Q6,普拉多卫士H9对比,qa,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6864,6864,5944,29851,26,11115,51646,49152,2494,95.2
Q6,普拉多卫士H9对比,qa,before,3,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,34,1256,54729,24576,30153,44.9
Q6,普拉多卫士H9对比,qa,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5869,5869,5944,29851,31,12572,58446,4096,54350,7.0
Q6,普拉多卫士H9对比,qa,before,4,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,34,1351,54846,53248,1598,97.1
Q6,普拉多卫士H9对比,qa,after,4,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,169,12587,58621,57344,1277,97.8
Q6,普拉多卫士H9对比,qa,before,5,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,34,1459,57274,36864,20410,64.4
Q6,普拉多卫士H9对比,qa,after,5,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5447,5447,5944,29851,26,14453,65621,57344,8277,87.4
Q6,普拉多卫士H9对比,qa,before,6,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,486,509,2990,0,2990,5806,32153,37,19424,58117,24576,33541,42.3
Q6,普拉多卫士H9对比,qa,after,6,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,0,0,5944,29851,167,14468,65794,65536,258,99.6
Q6,普拉多卫士H9对比,qa,after,7,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,6181,6181,5944,29851,27,25707,82453,49152,33301,59.6
Q6,普拉多卫士H9对比,qa,after,8,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5691,5691,5944,29851,34,35418,97024,81920,15104,84.4
Q6,普拉多卫士H9对比,qa,after,9,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5691,5691,5944,29851,34,40314,101538,94208,7330,92.8
